architecture_family,component_relation,estimated_cost,estimated_memory,estimated_points,exact_geometric_transform,exact_integer_scale,example_count,initializer_count,input_is_output_subgrid,input_shape_variability,model_bytes,node_count,nonzero_relation,output_is_input_subgrid,output_is_nonzero_bbox,output_shape_variability,palette_relation,parameter_count,primitive_tags,same_shape_examples,same_shape_mask_relation,semantic_signature,shape_inventory_complete,shape_relation,task,top_ops
index_scatter,increase,1031,926,18.061715516,none,none,265,13,none,fixed,3719,27,increase,none,none,fixed,same,105,same_shape;paint_or_fill,265,output_superset,rows_same:cols_same|same|increase|increase|output_superset|none|none|none|none|none|fixed|fixed,True,rows_same:cols_same,task225,Add:4;Gather:4;Cast:3;Slice:2;ReduceMin:2;ArgMin:2;Squeeze:2;Unsqueeze:2;Concat:2;Conv:1
mixed,same,1534,1513,17.664366018,none,none,133,5,none,fixed,1979,36,increase,none,none,fixed,output_superset,21,same_shape;palette_add;paint_or_fill,133,output_superset,rows_same:cols_same|output_superset|increase|same|output_superset|none|none|none|none|none|fixed|fixed,True,rows_same:cols_same,task226,Mul:15;Concat:7;Sub:5;Slice:2;Cast:2;Split:2;Max:2;Pad:1
single_conv,mixed,100,0,20.394829814,none,none,267,1,none,fixed,605,1,mixed,none,none,fixed,mixed,100,crop_or_extract,0,not_applicable,rows_decrease:cols_same|mixed|mixed|mixed|not_applicable|none|none|none|none|none|fixed|fixed,True,rows_decrease:cols_same,task227,Conv:1
mixed,increase,962,849,18.130985549,none,none,266,6,none,fixed,4005,42,same,none,none,fixed,same,113,same_shape,266,overlap,rows_same:cols_same|same|same|increase|overlap|none|none|none|none|none|fixed|fixed,True,rows_same:cols_same,task228,Cast:15;Where:6;Einsum:2;ReduceMin:2;ReduceMax:2;Equal:2;ArgMax:2;ArgMin:2;Sub:2;Add:2
single_einsum,same,200,0,19.701682633,none,none,267,2,none,fixed,1011,1,same,none,none,fixed,overlap,200,same_shape;mask_preserving,267,same,rows_same:cols_same|overlap|same|same|same|none|none|none|none|none|fixed|fixed,True,rows_same:cols_same,task229,Einsum:1
single_conv,increase,900,0,18.197605237,none,none,266,1,none,variable,3775,1,increase,none,none,variable,output_superset,900,same_shape;palette_add;paint_or_fill,266,output_superset,rows_same:cols_same|output_superset|increase|increase|output_superset|none|none|none|none|none|variable|variable,True,rows_same:cols_same,task230,Conv:1
mixed,same,219,180,19.610928270,none,mixed,266,5,all,variable,760,6,increase,none,none,variable,same,39,expand_or_compose;paint_or_fill,0,not_applicable,rows_same:cols_increase|same|increase|same|not_applicable|none|none|all|none|mixed|variable|variable,True,rows_same:cols_increase,task231,Slice:1;ReduceSum:1;Less:1;Where:1;Concat:1;Gather:1
single_conv,decrease,1410,0,17.748655017,none,none,266,2,none,variable,5840,1,increase,none,none,variable,output_superset,1410,same_shape;palette_add;paint_or_fill,266,output_superset,rows_same:cols_same|output_superset|increase|decrease|output_superset|none|none|none|none|none|variable|variable,True,rows_same:cols_same,task232,Conv:1
mixed,decrease,32011,31272,14.626165127,none,none,266,48,none,variable,20139,225,decrease,none,none,variable,same,739,crop_or_extract;select_or_erase;extract_and_recompose,0,not_applicable,rows_decrease:cols_decrease|same|decrease|decrease|not_applicable|none|none|none|none|none|variable|variable,True,rows_decrease:cols_decrease,task233,Where:31;Cast:21;Equal:21;And:19;Less:16;Add:14;ReduceMin:13;Greater:9;Sub:9;ReduceMax:8
mixed,same,3417,3361,16.863481748,none,none,266,9,none,variable,4594,90,decrease,none,none,variable,same,56,same_shape;select_or_erase,266,overlap,rows_same:cols_same|same|decrease|same|overlap|none|none|none|none|none|variable|variable,True,rows_same:cols_same,task234,Cast:22;Einsum:12;Greater:11;Add:7;Where:6;ArgMax:6;Sub:5;GreaterOrEqual:4;Concat:3;ReduceSum:3
bitwise,decrease,129,48,20.140187596,none,none,69,4,none,fixed,922,5,decrease,none,none,fixed,disjoint,81,crop_or_extract;select_or_erase,0,not_applicable,rows_decrease:cols_decrease|disjoint|decrease|decrease|not_applicable|none|none|none|none|none|fixed|fixed,True,rows_decrease:cols_decrease,task235,Conv:1;Cast:1;Transpose:1;BitwiseXor:1;ConvInteger:1
spatial,mixed,126,96,20.163718093,none,none,267,2,none,fixed,587,4,decrease,none,none,fixed,disjoint,30,crop_or_extract;select_or_erase,0,not_applicable,rows_decrease:cols_same|disjoint|decrease|mixed|not_applicable|none|none|none|none|none|fixed|fixed,True,rows_decrease:cols_same,task236,ConvTranspose:1;Cast:1;Shrink:1;ConvInteger:1
mixed,decrease,1829,1694,17.488475352,none,none,266,22,none,variable,4768,35,increase,none,none,variable,same,135,same_shape;paint_or_fill,266,output_superset,rows_same:cols_same|same|increase|decrease|output_superset|none|none|none|none|none|variable|variable,True,rows_same:cols_same,task237,Cast:9;Where:7;Slice:4;Pad:4;ReduceMax:3;Conv:1;Mod:1;Less:1;Concat:1;Xor:1
mixed,decrease,1935,1620,17.432137395,none,none,266,23,none,variable,5055,48,same,none,none,variable,same,315,crop_or_extract;extract_and_recompose,0,not_applicable,rows_decrease:cols_decrease|same|same|decrease|not_applicable|none|none|none|none|none|variable|variable,True,rows_decrease:cols_decrease,task238,Where:10;Equal:6;Einsum:4;ArgMax:4;Unsqueeze:4;Cast:3;Pad:3;Add:2;Concat:2;ArgMin:2
mixed,same,947,897,18.146700907,none,none,267,10,none,variable,1462,16,same,none,none,variable,same,50,,0,not_applicable,mixed|same|same|same|not_applicable|none|none|none|none|none|variable|variable,True,mixed,task239,Sub:3;Concat:2;Where:2;ReduceSum:1;TopK:1;Cast:1;Gather:1;Greater:1;Unsqueeze:1;Equal:1
index_scatter,increase,1475,1393,17.703586731,none,none,266,5,none,fixed,4617,28,increase,none,none,fixed,same,82,same_shape;paint_or_fill,266,output_superset,rows_same:cols_same|same|increase|increase|output_superset|none|none|none|none|none|fixed|fixed,True,rows_same:cols_same,task240,MaxPool:7;ArgMax:7;Cast:7;Concat:6;Equal:1
single_transpose,same,0,0,,mixed,none,266,0,none,variable,170,1,same,none,none,variable,same,0,same_shape;geometry,266,overlap,rows_same:cols_same|same|same|same|overlap|none|none|none|mixed|none|variable|variable,True,rows_same:cols_same,task241,Transpose:1
einsum,same,431,372,18.933891910,none,none,266,8,none,fixed,1055,8,decrease,mixed,none,fixed,output_subset,59,crop_or_extract;palette_filter;select_or_erase;extract_and_recompose,0,not_applicable,rows_decrease:cols_decrease|output_subset|decrease|same|not_applicable|mixed|none|none|none|none|fixed|fixed,True,rows_decrease:cols_decrease,task242,Einsum:2;Sub:1;Concat:1;Cast:1;Add:1;Slice:1;Pad:1
bitwise,decrease,10690,10278,15.722935996,none,none,265,29,none,variable,118088,1886,increase,none,none,variable,same,412,same_shape;paint_or_fill,265,output_superset,rows_same:cols_same|same|increase|decrease|output_superset|none|none|none|none|none|variable|variable,True,rows_same:cols_same,task243,BitwiseAnd:654;BitwiseOr:649;BitShift:532;Gather:38;Cast:4;Greater:3;Concat:2;Conv:1;Slice:1;Pad:1
mixed,increase,1179,1076,17.927578099,none,none,266,18,none,variable,3861,27,decrease,none,none,variable,output_subset,103,crop_or_extract;palette_filter;select_or_erase;extract_and_recompose,0,not_applicable,rows_decrease:cols_decrease|output_subset|decrease|increase|not_applicable|none|none|none|none|none|variable|variable,True,rows_decrease:cols_decrease,task244,Slice:6;ReduceMax:5;ArgMax:2;Cast:2;Gather:2;Expand:2;Equal:1;Reshape:1;Less:1;And:1
index_scatter,increase,2625,2484,17.127163825,none,none,267,12,none,variable,1848,28,same,none,none,variable,same,141,same_shape,267,overlap,rows_same:cols_same|same|same|increase|overlap|none|none|none|none|none|variable|variable,True,rows_same:cols_same,task245,Cast:5;ReduceMax:4;ArgMax:4;Sub:4;Slice:3;Squeeze:2;Gather:2;BitwiseOr:1;BitwiseXor:1;Concat:1
bitwise,decrease,2066,1952,17.366630350,none,none,266,12,none,variable,2599,28,increase,none,none,variable,output_superset,114,same_shape;palette_add;paint_or_fill,266,output_superset,rows_same:cols_same|output_superset|increase|decrease|output_superset|none|none|none|none|none|variable|variable,True,rows_same:cols_same,task246,Slice:4;And:4;Einsum:2;Cast:2;Reshape:2;Min:2;Max:2;Equal:2;Greater:2;Less:2
mixed,decrease,461,400,18.866601957,none,none,269,9,none,fixed,1644,13,decrease,mixed,mixed,variable,mixed,61,crop_or_extract;select_or_erase,0,not_applicable,rows_decrease:cols_decrease|mixed|decrease|decrease|not_applicable|mixed|mixed|none|none|none|fixed|variable,True,rows_decrease:cols_decrease,task247,Cast:2;Einsum:1;Slice:1;TopK:1;ReduceMax:1;Sub:1;Greater:1;LessOrEqual:1;Where:1;Equal:1
mixed,increase,151,122,19.982720163,none,none,13,4,none,variable,723,8,increase,none,none,variable,same,29,same_shape;paint_or_fill,13,output_superset,rows_same:cols_same|same|increase|increase|output_superset|none|none|none|none|none|variable|variable,True,rows_same:cols_same,task248,ReduceSum:1;QuantizeLinear:1;Mod:1;Sub:1;Min:1;Concat:1;Cast:1;ScatterElements:1
index_scatter,increase,261,168,19.435479593,none,none,265,5,all,variable,702,5,increase,none,none,variable,same,93,expand_or_compose;paint_or_fill,0,not_applicable,rows_same:cols_increase|same|increase|increase|not_applicable|none|none|all|none|none|variable|variable,True,rows_same:cols_increase,task249,Gather:2;Einsum:1;Cast:1;Pad:1
mixed,decrease,2121,2052,17.340357045,none,none,265,22,none,fixed,3095,38,same,none,none,fixed,same,69,same_shape,265,overlap,rows_same:cols_same|same|same|decrease|overlap|none|none|none|none|none|fixed|fixed,True,rows_same:cols_same,task250,Cast:7;Sub:6;Reshape:4;Slice:2;ReduceSum:2;ArgMax:2;Squeeze:2;Add:2;Clip:2;OneHot:2
spatial,decrease,4515,4320,16.584839534,none,none,266,6,none,variable,1823,26,increase,none,none,variable,output_superset,195,same_shape;palette_add;paint_or_fill,266,output_superset,rows_same:cols_same|output_superset|increase|decrease|output_superset|none|none|none|none|none|variable|variable,True,rows_same:cols_same,task251,Min:9;MaxPool:8;Equal:2;Cast:2;Sub:2;Conv:1;Concat:1;Pad:1
single_einsum,same,180,0,19.807043149,none,none,266,3,none,variable,918,1,same,none,none,variable,output_superset,180,same_shape;mask_preserving;palette_add,266,same,rows_same:cols_same|output_superset|same|same|same|none|none|none|none|none|variable|variable,True,rows_same:cols_same,task252,Einsum:1
einsum,decrease,500,320,18.785391902,none,none,265,6,none,fixed,1316,12,same,none,none,fixed,same,180,crop_or_extract;extract_and_recompose,0,not_applicable,rows_decrease:cols_decrease|same|same|decrease|not_applicable|none|none|none|none|none|fixed|fixed,True,rows_decrease:cols_decrease,task253,Cast:5;Einsum:3;Mod:2;Equal:2
mixed,decrease,687,650,18.467665708,none,none,265,11,none,fixed,989,14,decrease,none,none,fixed,disjoint,37,same_shape;select_or_erase,265,output_subset,rows_same:cols_same|disjoint|decrease|decrease|output_subset|none|none|none|none|none|fixed|fixed,True,rows_same:cols_same,task254,Where:4;Equal:3;Einsum:1;Slice:1;ReduceMax:1;Cast:1;ReduceMin:1;Greater:1;Pad:1
mixed,increase,7530,7185,16.073349679,none,none,265,27,none,fixed,11436,113,increase,none,none,fixed,output_superset,345,same_shape;palette_add;paint_or_fill,265,output_superset,rows_same:cols_same|output_superset|increase|increase|output_superset|none|none|none|none|none|fixed|fixed,True,rows_same:cols_same,task255,Cast:21;Equal:19;QLinearConv:14;Einsum:9;Sub:7;And:6;Or:5;Reshape:5;Gather:5;Unsqueeze:4
mixed,same,2113,2055,17.344135982,none,none,266,14,none,variable,1504,22,increase,none,none,variable,output_superset,58,same_shape;palette_add;paint_or_fill,266,output_superset,rows_same:cols_same|output_superset|increase|same|output_superset|none|none|none|none|none|variable|variable,True,rows_same:cols_same,task256,Slice:4;Greater:3;Less:2;Concat:2;And:2;ReduceSum:1;ArgMax:1;Cast:1;Add:1;Equal:1
single_conv,decrease,400,0,19.008535453,none,none,269,1,none,fixed,1777,1,decrease,none,none,fixed,output_subset,400,crop_or_extract;palette_filter;select_or_erase;extract_and_recompose,0,not_applicable,rows_decrease:cols_decrease|output_subset|decrease|decrease|not_applicable|none|none|none|none|none|fixed|fixed,True,rows_decrease:cols_decrease,task257,Conv:1
single_conv,decrease,160,0,19.924826185,none,none,266,2,none,variable,841,1,increase,none,none,variable,output_superset,160,same_shape;palette_add;paint_or_fill,266,output_superset,rows_same:cols_same|output_superset|increase|decrease|output_superset|none|none|none|none|none|variable|variable,True,rows_same:cols_same,task258,Conv:1
mixed,increase,892,844,18.206533867,none,none,266,16,none,variable,3731,41,decrease,mixed,none,variable,output_subset,48,crop_or_extract;palette_filter;select_or_erase;extract_and_recompose,0,not_applicable,rows_decrease:cols_decrease|output_subset|decrease|increase|not_applicable|mixed|none|none|none|none|variable|variable,True,rows_decrease:cols_decrease,task259,Cast:9;Less:4;And:3;Add:3;Where:3;Concat:3;Unsqueeze:3;Slice:2;ReduceSum:2;ReduceMax:2
mixed,increase,1517,1233,17.675510021,none,none,266,20,none,fixed,4450,39,mixed,none,none,fixed,output_subset,284,same_shape;palette_filter,266,overlap,rows_same:cols_same|output_subset|mixed|increase|overlap|none|none|none|none|none|fixed|fixed,True,rows_same:cols_same,task260,Einsum:6;Cast:6;Add:5;Greater:4;Sub:2;Div:2;Gather:2;Mul:2;ReduceSum:2;Concat:2
single_conv,same,200,0,19.701682633,none,none,265,1,none,variable,972,1,same,none,none,variable,disjoint,200,same_shape,265,overlap,rows_same:cols_same|disjoint|same|same|overlap|none|none|none|none|none|variable|variable,True,rows_same:cols_same,task261,Conv:1
mixed,decrease,106,90,20.336560906,none,none,11,3,none,fixed,596,6,increase,none,none,fixed,disjoint,16,same_shape;paint_or_fill,11,output_superset,rows_same:cols_same|disjoint|increase|decrease|output_superset|none|none|none|none|none|fixed|fixed,True,rows_same:cols_same,task262,Concat:2;Slice:1;Cast:1;Split:1;Pad:1
mixed,decrease,670,554,18.492722288,none,none,267,11,none,variable,4176,38,decrease,all,none,fixed,output_subset,116,subgrid_extract;palette_filter;select_or_erase,0,not_applicable,mixed|output_subset|decrease|decrease|not_applicable|all|none|none|none|none|variable|fixed,True,mixed,task263,Cast:7;Concat:5;Slice:3;Gather:3;Where:3;Equal:3;Not:3;Conv:2;Squeeze:2;Unsqueeze:2
einsum,decrease,2329,940,17.246805730,none,none,265,12,none,variable,8422,20,same,none,none,fixed,same,1389,crop_or_extract;extract_and_recompose,0,not_applicable,rows_decrease:cols_decrease|same|same|decrease|not_applicable|none|none|none|none|none|variable|fixed,True,rows_decrease:cols_decrease,task264,Einsum:8;Cast:8;Concat:1;Gather:1;Equal:1;Pad:1
spatial,decrease,4357,4325,16.620460974,none,none,266,9,none,fixed,1246,11,increase,none,none,fixed,output_superset,32,same_shape;palette_add;paint_or_fill,266,output_superset,rows_same:cols_same|output_superset|increase|decrease|output_superset|none|none|none|none|none|fixed|fixed,True,rows_same:cols_same,task265,MaxPool:2;Add:2;Slice:1;Cast:1;Sub:1;GatherND:1;ScatterND:1;Pad:1;Equal:1
spatial,increase,311,120,19.260207088,none,none,20,4,none,fixed,1142,3,increase,none,none,fixed,disjoint,191,same_shape;paint_or_fill,20,overlap,rows_same:cols_same|disjoint|increase|increase|overlap|none|none|none|none|none|fixed|fixed,True,rows_same:cols_same,task266,Conv:2;Relu:1
spatial,decrease,758,724,18.369316614,none,none,264,10,none,fixed,841,8,decrease,none,none,fixed,output_subset,34,same_shape;palette_filter;select_or_erase,264,output_subset,rows_same:cols_same|output_subset|decrease|decrease|output_subset|none|none|none|none|none|fixed|fixed,True,rows_same:cols_same,task267,Slice:2;Pad:2;Greater:1;Cast:1;Equal:1;Where:1
mixed,increase,2974,2920,17.002336873,none,none,266,14,none,variable,5447,133,increase,none,none,variable,mixed,54,same_shape;paint_or_fill,266,output_superset,rows_same:cols_same|mixed|increase|increase|output_superset|none|none|none|none|none|variable|variable,True,rows_same:cols_same,task268,Add:29;Mul:22;Cast:12;Sub:12;And:11;Less:10;Where:5;ReduceMax:4;GatherElements:4;GreaterOrEqual:4
mixed,same,709,685,18.436144473,none,mixed,266,10,none,fixed,1619,12,increase,none,none,variable,same,24,expand_or_compose;integer_scale;paint_or_fill,0,not_applicable,rows_increase:cols_increase|same|increase|same|not_applicable|none|none|none|none|mixed|fixed|variable,True,rows_increase:cols_increase,task269,Cast:3;Slice:1;Pad:1;Gather:1;ReduceSum:1;Sub:1;Div:1;Unsqueeze:1;Concat:1;Resize:1
einsum,decrease,2858,1826,17.042122642,none,none,266,17,none,fixed,3931,33,same,none,none,fixed,same,1032,same_shape,266,overlap,rows_same:cols_same|same|same|decrease|overlap|none|none|none|none|none|fixed|fixed,True,rows_same:cols_same,task270,Einsum:7;Cast:6;Reshape:6;Slice:4;BitwiseAnd:4;Concat:4;Conv:2
mixed,decrease,1187,1141,17.920815605,none,none,267,11,none,fixed,1623,15,decrease,all,none,fixed,same,46,crop_or_extract;subgrid_extract;select_or_erase,0,not_applicable,rows_decrease:cols_decrease|same|decrease|decrease|not_applicable|all|none|none|none|none|fixed|fixed,True,rows_decrease:cols_decrease,task271,Cast:3;Slice:2;Concat:2;QLinearConv:1;Flatten:1;ArgMax:1;Div:1;Mod:1;Add:1;Sub:1
spatial,same,402,200,19.003547911,none,none,267,6,none,variable,1173,2,same,none,none,variable,mixed,202,same_shape;mask_preserving,267,same,rows_same:cols_same|mixed|same|same|same|none|none|none|none|none|variable|variable,True,rows_same:cols_same,task272,Slice:1;Conv:1
spatial,increase,2026,1800,17.386181315,none,none,266,6,none,fixed,1554,5,increase,none,none,fixed,output_superset,226,same_shape;palette_add;paint_or_fill,266,output_superset,rows_same:cols_same|output_superset|increase|increase|output_superset|none|none|none|none|none|fixed|fixed,True,rows_same:cols_same,task273,Slice:1;Einsum:1;Cast:1;Pad:1;Where:1
mixed,same,175,138,19.835214026,none,none,269,4,none,variable,1183,17,decrease,none,none,fixed,output_subset,37,crop_or_extract;palette_filter;select_or_erase;extract_and_recompose,0,not_applicable,rows_decrease:cols_decrease|output_subset|decrease|same|not_applicable|none|none|none|none|none|variable|fixed,True,rows_decrease:cols_decrease,task274,Einsum:3;Cast:3;Div:2;Sub:2;Mul:1;Add:1;Greater:1;Not:1;And:1;Concat:1
einsum,mixed,1353,489,17.789920372,none,none,266,11,none,variable,3325,13,increase,none,none,variable,output_subset,864,expand_or_compose;palette_filter;paint_or_fill,0,not_applicable,rows_increase:cols_increase|output_subset|increase|mixed|not_applicable|none|none|none|none|none|variable|variable,True,rows_increase:cols_increase,task275,Cast:3;Einsum:3;Concat:2;ReduceSum:1;Greater:1;Where:1;Sub:1;Equal:1
single_gather,same,10,0,22.697414907,none,none,266,1,none,variable,217,1,same,none,none,variable,overlap,10,same_shape;mask_preserving,266,same,rows_same:cols_same|overlap|same|same|same|none|none|none|none|none|variable|variable,True,rows_same:cols_same,task276,Gather:1
spatial,same,3540,3501,16.828117994,none,none,266,6,none,fixed,1721,32,same,none,none,fixed,disjoint,39,same_shape;mask_preserving,266,same,rows_same:cols_same|disjoint|same|same|same|none|none|none|none|none|fixed|fixed,True,rows_same:cols_same,task277,Mul:12;MaxPool:11;Add:2;Equal:2;Slice:1;Cast:1;ReduceMax:1;Where:1;Pad:1
spatial,decrease,41,0,21.286427933,none,none,265,8,none,variable,751,10,increase,none,none,variable,output_superset,41,same_shape;palette_add;paint_or_fill,265,output_superset,rows_same:cols_same|output_superset|increase|decrease|output_superset|none|none|none|none|none|variable|variable,False,rows_same:cols_same,task278,Conv:1;QuantizeLinear:1;BitwiseAnd:1;BitShift:1;QLinearConv:1;MaxPool:1;Min:1;Add:1;Pad:1;Equal:1
quantized,same,5546,5508,16.379167774,none,none,266,8,none,variable,2111,17,same,none,none,variable,output_superset,38,same_shape;mask_preserving;palette_add,266,same,rows_same:cols_same|output_superset|same|same|same|none|none|none|none|none|variable|variable,True,rows_same:cols_same,task279,QLinearConv:10;Min:2;Slice:1;Cast:1;Greater:1;Pad:1;Where:1
mixed,same,4520,3746,16.583732727,none,none,267,21,none,variable,13231,111,increase,none,none,variable,same,774,same_shape;paint_or_fill,267,output_superset,rows_same:cols_same|same|increase|same|output_superset|none|none|none|none|none|variable|variable,True,rows_same:cols_same,task280,Cast:20;Add:15;GatherND:11;Or:10;Unsqueeze:9;Concat:8;Split:6;And:5;Equal:4;Sub:4
mixed,decrease,1329,1188,17.807817941,none,none,266,15,none,variable,3224,71,increase,none,none,variable,output_subset,141,same_shape;palette_filter;paint_or_fill,266,output_superset,rows_same:cols_same|output_subset|increase|decrease|output_superset|none|none|none|none|none|variable|variable,True,rows_same:cols_same,task281,Reshape:12;Sub:10;Einsum:8;Add:8;Cast:8;Log:6;Div:6;Concat:5;Floor:2;LessOrEqual:2
quantized,decrease,446,407,18.899681048,none,none,265,7,none,fixed,698,4,increase,none,none,fixed,output_superset,39,same_shape;palette_add;paint_or_fill,265,overlap,rows_same:cols_same|output_superset|increase|decrease|overlap|none|none|none|none|none|fixed|fixed,True,rows_same:cols_same,task282,QLinearConv:2;Slice:1;Cast:1
spatial,same,642,500,18.535411696,none,none,265,5,none,fixed,856,3,same,none,none,fixed,disjoint,142,same_shape;mask_preserving,265,same,rows_same:cols_same|disjoint|same|same|same|none|none|none|none|none|fixed|fixed,True,rows_same:cols_same,task283,Conv:1;Cast:1;QLinearConv:1
mixed,decrease,3089,2912,16.964397307,none,none,266,14,none,variable,3834,84,increase,none,none,variable,same,177,same_shape;paint_or_fill,266,output_superset,rows_same:cols_same|same|increase|decrease|output_superset|none|none|none|none|none|variable|variable,True,rows_same:cols_same,task284,Add:20;Cast:12;Mul:12;Concat:11;Sub:9;ArgMax:6;Div:3;Unsqueeze:3;Einsum:2;Slice:2
mixed,increase,18674,18256,15.165112539,none,none,265,33,none,variable,5102,106,increase,none,none,variable,same,418,same_shape;paint_or_fill,265,output_superset,rows_same:cols_same|same|increase|increase|output_superset|none|none|none|none|none|variable|variable,True,rows_same:cols_same,task285,Cast:16;Unsqueeze:13;Gather:11;Add:10;Mul:10;Where:8;Reshape:7;Equal:5;TopK:3;ReduceMax:2
bitwise,decrease,26909,26064,14.799783918,none,none,265,46,none,variable,111759,2393,increase,none,none,variable,same,845,same_shape;paint_or_fill,265,output_superset,rows_same:cols_same|same|increase|decrease|output_superset|none|none|none|none|none|variable|variable,True,rows_same:cols_same,task286,BitwiseAnd:847;BitwiseOr:736;BitShift:712;Gather:42;Cast:22;MatMulInteger:7;Mul:5;Add:5;Where:5;Equal:4
single_einsum,same,910,0,18.186555400,none,none,267,2,none,fixed,3827,1,same,none,none,fixed,output_subset,910,same_shape;mask_preserving;palette_filter,267,same,rows_same:cols_same|output_subset|same|same|same|none|none|none|none|none|fixed|fixed,True,rows_same:cols_same,task287,Einsum:1
index_scatter,increase,958,769,18.135152222,none,none,267,8,none,variable,2804,14,increase,none,none,variable,same,189,same_shape;paint_or_fill,267,output_superset,rows_same:cols_same|same|increase|increase|output_superset|none|none|none|none|none|variable|variable,True,rows_same:cols_same,task288,Equal:2;Cast:2;ArgMax:2;ReduceSum:1;ReduceMax:1;Gather:1;Greater:1;Where:1;Mul:1;Concat:1
mixed,same,742,618,18.390650757,none,mixed,268,4,mixed,fixed,1238,9,increase,none,none,variable,same,124,expand_or_compose;integer_scale;paint_or_fill,0,not_applicable,rows_increase:cols_increase|same|increase|same|not_applicable|none|none|mixed|none|mixed|fixed|variable,True,rows_increase:cols_increase,task289,Cast:2;ReduceMax:1;ReduceSum:1;Sub:1;Div:1;Floor:1;Equal:1;Einsum:1
index_scatter,same,355,292,19.127882211,none,none,266,8,none,variable,1427,10,same,none,none,variable,same,63,crop_or_extract;extract_and_recompose,0,not_applicable,rows_decrease:cols_decrease|same|same|same|not_applicable|none|none|none|none|none|variable|variable,True,rows_decrease:cols_decrease,task290,Gather:2;Einsum:2;ReduceSum:1;TopK:1;Equal:1;Cast:1;OneHot:1;Pad:1
spatial,decrease,66,40,20.810345258,none,none,265,4,none,variable,495,2,decrease,all,none,fixed,output_subset,26,crop_or_extract;subgrid_extract;palette_filter;select_or_erase,0,not_applicable,rows_decrease:cols_decrease|output_subset|decrease|decrease|not_applicable|all|none|none|none|none|variable|fixed,True,rows_decrease:cols_decrease,task291,Einsum:1;Pad:1
single_einsum,same,80,0,20.617973365,none,none,28,2,none,variable,499,1,same,none,none,variable,output_superset,80,same_shape;mask_preserving;palette_add,28,same,rows_same:cols_same|output_superset|same|same|same|none|none|none|none|none|variable|variable,True,rows_same:cols_same,task292,Einsum:1
index_scatter,same,1043,994,18.050143545,none,none,267,12,none,variable,2641,38,same,none,none,variable,same,49,same_shape;mask_preserving,267,same,rows_same:cols_same|same|same|same|same|none|none|none|none|none|variable|variable,True,rows_same:cols_same,task293,Concat:6;GatherElements:5;Add:4;Cast:4;Equal:3;Reshape:3;Slice:2;ArgMin:2;And:2;Expand:2
single_conv,same,910,0,18.186555400,none,none,265,2,none,fixed,3853,1,same,none,none,fixed,output_superset,910,same_shape;mask_preserving;palette_add,265,same,rows_same:cols_same|output_superset|same|same|same|none|none|none|none|none|fixed|fixed,True,rows_same:cols_same,task294,Conv:1
mixed,same,1604,1557,17.619744212,none,none,268,10,all,variable,1371,19,increase,none,none,variable,same,47,expand_or_compose;paint_or_fill,0,not_applicable,rows_increase:cols_same|same|increase|same|not_applicable|none|none|all|none|none|variable|variable,True,rows_increase:cols_same,task295,Where:4;ReduceSum:3;Cast:3;Less:3;Slice:1;ArgMax:1;Mul:1;Add:1;Pad:1;Equal:1
mixed,decrease,314,249,19.250607014,none,none,268,16,none,fixed,3893,38,decrease,mixed,none,fixed,same,65,crop_or_extract;select_or_erase;extract_and_recompose,0,not_applicable,rows_decrease:cols_decrease|same|decrease|decrease|not_applicable|mixed|none|none|none|none|fixed|fixed,True,rows_decrease:cols_decrease,task296,Split:12;Or:7;Equal:5;Slice:4;Concat:4;Einsum:2;Div:1;Cast:1;Where:1;Pad:1
mixed,same,1389,1350,17.763660657,none,none,265,7,none,variable,2424,21,increase,none,none,variable,same,39,same_shape;paint_or_fill,265,output_superset,rows_same:cols_same|same|increase|same|output_superset|none|none|none|none|none|variable|variable,True,rows_same:cols_same,task297,Cast:4;Mul:3;Add:2;Slice:1;ArgMax:1;ReduceMax:1;ReduceSum:1;Mod:1;Transpose:1;Gather:1
einsum,mixed,135,120,20.094725222,none,none,267,4,none,variable,396,2,mixed,none,none,variable,same,15,same_shape,267,mixed,rows_same:cols_same|same|mixed|mixed|mixed|none|none|none|none|none|variable|variable,True,rows_same:cols_same,task298,Slice:1;Einsum:1
single_einsum,decrease,50,0,21.087976995,none,none,21,3,none,fixed,473,1,increase,none,none,fixed,output_superset,50,same_shape;palette_add;paint_or_fill,21,output_superset,rows_same:cols_same|output_superset|increase|decrease|output_superset|none|none|none|none|none|fixed|fixed,True,rows_same:cols_same,task299,Einsum:1
mixed,decrease,526,467,18.734698787,none,none,267,13,none,variable,3217,30,decrease,all,none,variable,output_subset,59,crop_or_extract;subgrid_extract;palette_filter;select_or_erase,0,not_applicable,rows_decrease:cols_decrease|output_subset|decrease|decrease|not_applicable|all|none|none|none|none|variable|variable,True,rows_decrease:cols_decrease,task300,Cast:8;Einsum:3;Equal:2;Log:2;Div:2;Sub:2;ReduceSum:2;Where:2;TopK:1;Gather:1
mixed,decrease,1141,1077,17.960339650,mixed,none,266,13,none,variable,2061,21,same,none,none,variable,same,64,same_shape,266,overlap,rows_same:cols_same|same|same|decrease|overlap|none|none|none|mixed|none|variable|variable,True,rows_same:cols_same,task301,Sub:3;Add:3;ReduceSum:2;Cast:2;Pad:2;Concat:2;Slice:1;ReduceMax:1;Div:1;Min:1
