task,variant_hash,min_delta,source_count,sources
task054,63e183aaeff6b5c4,-1009,3,poby_7268:22788:-1009;biohack_src_A:22788:-1009;biohack_src_B:22788:-1009
task234,aae5c73005016aea,-983,1,hoangvux_neurogolf:3611:-983
task304,c43deb52a8925956,-877,4,frank_7245_63_zip:1077:-877;frank_7245_63_selected:1077:-877;frank_7225_19_zip:1077:-877;hoangvux_neurogolf:1077:-877
task281,35d2c3e6390459c2,-869,2,frank_7245_63_zip:2355:-869;frank_7245_63_selected:2355:-869
task240,ec7178d1e92a3b88,-852,1,poby_7268:3765:-852
task037,522087a99cd98074,-812,2,frank_7245_63_zip:2669:-812;frank_7245_63_selected:2669:-812
task070,f06e034ce99c6804,-801,2,frank_7225_19_zip:1062:-801;hoangvux_neurogolf:1062:-801
task310,ef423c31c7a199a1,-781,4,frank_7245_63_zip:2957:-781;frank_7245_63_selected:2957:-781;frank_7225_19_zip:2957:-781;hoangvux_neurogolf:2957:-781
task286,8d7744b1bcbe2ef6,-773,1,hoangvux_neurogolf:110986:-773
task383,1439f1a2bbc1b7ee,-771,2,frank_7245_63_zip:3349:-771;frank_7245_63_selected:3349:-771
task070,024e094073c8f3cb,-769,2,frank_7245_63_zip:1094:-769;frank_7245_63_selected:1094:-769
task218,0e726bd17ccbc803,-768,2,frank_7245_63_zip:2360:-768;frank_7245_63_selected:2360:-768
task383,4733a03c09ee8fc5,-663,1,hoangvux_neurogolf:3457:-663
task137,59ab733a63abe777,-654,4,frank_7245_63_zip:2041:-654;frank_7245_63_selected:2041:-654;frank_7225_19_zip:2041:-654;hoangvux_neurogolf:2041:-654
task250,1821c8223f93c063,-619,2,frank_7225_19_zip:2476:-619;hoangvux_neurogolf:2476:-619
task264,caf991cf6b7b4874,-579,1,hoangvux_neurogolf:7843:-579
task383,3cea3a7c5bca4587,-563,1,frank_7225_19_zip:3557:-563
task198,db13846fc3e3ca0d,-557,3,frank_7245_63_zip:4030:-557;frank_7245_63_selected:4030:-557;hoangvux_neurogolf:4030:-557
task206,89758cf1c05c121e,-555,1,hoangvux_neurogolf:1943:-555
task198,e216b70b4262379c,-505,4,poby_7268:4082:-505;ryosuke_7266_48:4082:-505;biohack_src_A:4082:-505;biohack_src_B:4082:-505
task064,432dee49e6e28612,-447,4,frank_7245_63_zip:3121:-447;frank_7245_63_selected:3121:-447;frank_7225_19_zip:3121:-447;hoangvux_neurogolf:3121:-447
task388,3ebf1e8ac1c28412,-422,1,frank_7225_19_zip:1803:-422
task277,2e945a188ee85ac7,-418,1,frank_7225_19_zip:1303:-418
task005,a91c800a5d153db0,-404,5,poby_7268:4692:-404;ryosuke_7266_48:4692:-404;biohack_src_A:4692:-404;biohack_src_B:4692:-404;biohack_stage:4692:-404
task184,73e9738d83359dc8,-389,1,frank_7225_19_zip:1542:-389
task388,5214188dbc88f7c2,-374,3,frank_7245_63_zip:1851:-374;frank_7245_63_selected:1851:-374;hoangvux_neurogolf:1851:-374
task343,6a5dd2be69193701,-361,1,frank_7225_19_zip:4765:-361
task334,975c7e2516afe0f4,-354,1,frank_7225_19_zip:1567:-354
task055,c10324dc3827ff7e,-268,4,poby_7268:1243:-268;ryosuke_7266_48:1243:-268;biohack_src_A:1243:-268;biohack_src_B:1243:-268
task127,2421f9f0f87224c6,-260,8,poby_7268:1009:-260;ryosuke_7266_48:1009:-260;frank_7245_63_zip:1009:-260;frank_7245_63_selected:1009:-260;frank_7225_19_zip:1009:-260;hoangvux_neurogolf:1009:-260;biohack_src_A:1009:-260;biohack_src_B:1009:-260
