base_bytes,base_cost,base_error,base_memory,base_params,base_points,base_sha256,byte_delta,classification,cost_delta,different,donor_bytes,donor_cost,donor_error,donor_memory,donor_params,donor_points,donor_sha256,point_delta,task
2872,1744,,1643,101,17.536063395531073,8578b1dd81b132ec7a6e9a5601457498cc26610c33c3a954bfea8271fbf3ae24,-1210,cost-neutral,0,True,1662,1744,,1643,101,17.536063395531073,ae8b0378849c3b0b7b7666599493b1a3925bc997f27a7ea37373fd952b08a1cc,0.0,task051
859,34,,34,0,21.473639475383838,a5d7b219941d1f76d28f1a9315c0e6e964a5b9902a851c8055464c5060a15fc5,-302,cost-neutral,0,True,557,34,,34,0,21.473639475383838,f2a24b911c77157545ec877bdffd3190e44ff9e526907d3d8532c38cf7a67944,0.0,task056
1367,668,,638,30,18.495711826463356,cb0320957f8280498ce363280dac5110fa977cd41c94e7e44668d34bb6412224,-284,cost-neutral,0,True,1083,668,,638,30,18.495711826463356,b9aecfda10acb0ec2bb240691fc016dab4468b5e6000ed6a8d2ab2a4e055d756,0.0,task057
875,1668,,1633,35,17.58061941708131,ca895cf016d83d9fdbcadf4e03a66caa491ec02314138a789a56ccd0a62addcd,-307,cost-neutral,0,True,568,1668,,1633,35,17.58061941708131,d591d61df70bb0eeb37f66c1ce511da8c5424b9f0d1e021f6420a96973fbc237,0.0,task061
1693,623,,500,123,18.565453481212547,4dff0626d4da16c33bac4c0edd9a6b73856b403fcb124505fedd4dadbedc15ca,-719,cost-neutral,0,True,974,623,,500,123,18.565453481212547,e963692fdf0ba18a72b88d1d6d7e8b14a07c2f2e9945eddf11854c788eed6a8f,0.0,task068
1697,1487,,1326,161,17.695484053539843,597d643e5bf0921ab6030007e6242e77feb12b000c0e392b7fe40296a9bae887,-401,cost-neutral,0,True,1296,1487,,1326,161,17.695484053539843,9f05b671da7d160085265de8cbafaca531362ba752167c9c46a786ab41b631f6,0.0,task075
821,464,,392,72,18.860115447773744,38ec9f3fe8fb654ba69cc258a2f163709366d5da6aad62a98a3cec6cb57433f1,-253,cost-neutral,0,True,568,464,,392,72,18.860115447773744,9a4e1faef94042567c95c895b4dd9541d7f9fd69d29352162a553811764f1b34,0.0,task081
989,190,,0,190,19.752975927839515,e050837db177e7d6b2e5ad5c4cd76bcf19e85a0aedf3fc265056d75870d80446,-44,cost-neutral,0,True,945,190,,0,190,19.752975927839515,b4191b786b29de5caec1d0ed62ec7986b498f9c1cf0de26d608a995ff14fc478,0.0,task082
1679,2038,,1797,241,17.38027578621733,d7217e0bb5b86f0ff7eadc683a638b071dfccaf37f8099c59053531ef3d91aa0,-301,cost-neutral,0,True,1378,2038,,1797,241,17.38027578621733,ffcf10f246d1e3045baab3a4f2516386dbf29f12bb6409e82a8360f412ac8d1d,0.0,task084
382,5,,0,5,23.3905620875659,d4830ee432562703ce0e624377faf58bf72b5433e6b4616e8268be0d20a86dc8,-51,cost-neutral,0,True,331,5,,0,5,23.3905620875659,558ab5891781c6ea95bb525d33d12dcae1f2052c26a49aaef2cd8ac7005107d2,0.0,task087
3349,1872,,1791,81,17.465237342962464,4b3fb33cb0edb9f1a94dd71226b12073656e8298f0b43d727cfa8576c0fcad74,-1534,cost-neutral,0,True,1815,1872,,1791,81,17.465237342962464,83b6029a48fb5c2b702fa96e60e5672463f0adcbf668a01a295648355be9109e,0.0,task088
9855,6553,,6375,178,16.212321760960503,e1b6b3880e335bfcd33eba5602959a773b3804596aacaf265349791d531e138a,-4358,cost-neutral,0,True,5497,6553,,6375,178,16.212321760960503,ce0693f98d3b157c326c526cdb28a33bf79f97f5749dbbf45df5f3cf95af1cd6,0.0,task092
587,345,,245,100,19.15645558296864,e3212af213f8b2799ceaa19a24ec62248dfb084bf6216535e58cb6020a2e8f7d,-148,cost-neutral,0,True,439,345,,245,100,19.15645558296864,02d02f66ac7dc4ad9406c1d6f783c7c90c8608dedf344702449465118b747248,0.0,task095
13981,7678,,7260,418,16.053885624439257,0cd8a44505bf98a3ac6396525b017305d4fe361d3dc67e626e0e26f902c4c220,-6606,cost-neutral,0,True,7375,7678,,7260,418,16.053885624439257,0d4b45045800760ff08a9987c9c39cd3645ac2a7e5014f56418a2355c4d4ed02,0.0,task096
3829,910,,0,910,18.186555400489105,e11f658842029acf14bc7f02675371d143c017e0709af40a14889bf685d7340e,-18,cost-neutral,0,True,3811,910,,0,910,18.186555400489105,7ac62fe2cd88d478d324c59eae0c5731dc593f490b831c6a5d27e6a4cc798cdb,0.0,task097
3794,900,,0,900,18.197605236675688,5aad8d8ffb260eb0c90abfb93e28e88c772f7afee8bdf4d318e99c3266a1209c,-37,cost-neutral,0,True,3757,900,,0,900,18.197605236675688,ee13147815974a55d7485292c82ff47bf741df01c589f0cf625a4f54b2ee81d1,0.0,task098
1861,2527,,2414,113,17.165211892611808,22ad045903cba5b5ed2617127a1ed8cf94e637ae0689f7b6253770f78bd8b7b7,-678,cost-neutral,0,True,1183,2527,,2414,113,17.165211892611808,1bc107e94df1e0fcd18b3279d58687ad7ad4f24187021ca6cf951e134572849c,0.0,task102
1177,626,,452,174,18.560649628899903,e1830f3821bacd5471705e7a966cdea81ee40634c2132e856403d4a2f2321448,-155,cost-neutral,0,True,1022,626,,452,174,18.560649628899903,ceafcc71d7516815129445c0f5c2dd1259a18e61fa782c89d9f17a930a3efe85,0.0,task106
1410,300,,0,300,19.2962175253438,4d857e771a6685c81102d5df031017eb54270e27be36ee3bf5387a6b9f375eb1,-11,cost-neutral,0,True,1399,300,,0,300,19.2962175253438,340d76e5e33615bc169747b0cff1998e12f5515e93f35cc2347fd74490f87f32,0.0,task108
499,30,,0,30,21.598802618337846,356a5f1e2200cf2560f6c836ce7d21eca6b6cad9e68015c2ae31639613ef9b09,-112,cost-neutral,0,True,387,30,,0,30,21.598802618337846,e06309dbc8243c6a1560de9a41a0ff6937b11694186632a83071f48a95091007,0.0,task113
479,30,,0,30,21.598802618337846,3f87aab73b8c538752ffb070a34dd07ef95ccba2d299bd7526da67fcf956e1e5,-92,cost-neutral,0,True,387,30,,0,30,21.598802618337846,2bebd0179753231ae0e44c56b35231528f79d8e9f9d0d577f71a597544165c37,0.0,task116
4641,1363,,1243,120,17.782556568303466,488903940d8825d9fa200cf6dce80cd5754aca5b04b4f0e19d65d6c353659a0d,-2273,cost-neutral,0,True,2368,1363,,1243,120,17.782556568303466,66a1392268976401b0191ac8a4c32409d32f0d55f7f92798c9d2e5194c85901d,0.0,task119
3840,910,,0,910,18.186555400489105,eb3ffdb92f73a07885e28c9c854599a7a64da2ae4d978c39abe2506e11201ec2,-29,cost-neutral,0,True,3811,910,,0,910,18.186555400489105,e156b56a546f5e24f015cacebf7eadde417a9944d37eae915ae42498f1909dc0,0.0,task120
3470,810,,0,810,18.302965752333517,9d256b458e31da4423eee2f1c90ac42204a8e573ea622c1b679c25865828eabf,-22,cost-neutral,0,True,3448,810,,0,810,18.302965752333517,9b7f955b0bae792bcd4d4c573f29f9d374ea8120cf3b89e1e6048078f71dcc6e,0.0,task122
4922,1342,,403,939,17.798083682468373,0430094cf07093b3d9c3ca41a4936bc34b8a2f31584711171a369fb1821a2d49,-610,cost-neutral,0,True,4312,1342,,403,939,17.798083682468373,41fd10dcdb9f2acd078dc511266c0edd24a90d3b3ad2271c8dcef5078aefb90e,0.0,task123
2689,1953,,1879,74,17.42287806912332,26b8e6ed0bf7af2854fdb0a212b36b36330a4412f71ab683aa5681c557ac0ab7,-1200,cost-neutral,0,True,1489,1953,,1879,74,17.42287806912332,1b8d2d2bf3df25d3172ea3fe2880d8bfddad9002066fbea1fe28f501504ae215,0.0,task124
1405,3463,,3434,29,16.850109455597575,31e9c6926235af578469115777db7fb3aa2812ed0d683f2edc93558bb6d1a52d,-499,cost-neutral,0,True,906,3463,,3434,29,16.850109455597575,a2eead3f8f867ebb686cbdae49fde17e5e8e341fe2e6c1f1d20d5fb2aea8b446,0.0,task125
