base_bytes,base_cost,base_error,base_memory,base_params,base_points,base_sha256,byte_delta,classification,different,donor_bytes,donor_error,donor_sha256,task
821,464,,392,72,18.860115447773744,38ec9f3fe8fb654ba69cc258a2f163709366d5da6aad62a98a3cec6cb57433f1,11437,donor-unscorable,True,12258,ValueError: network performance could not be measured,f187fdf683c2f996ba4dddf4a7915858e6964c3399cd2e64683114905fae2aa4,task081
989,190,,0,190,19.752975927839515,e050837db177e7d6b2e5ad5c4cd76bcf19e85a0aedf3fc265056d75870d80446,11269,donor-unscorable,True,12258,ValueError: network performance could not be measured,51e5ce3be6ebe0d511d0927c007993bd28412605928e694327ce9ec0d75a92a6,task082
1679,2038,,1797,241,17.38027578621733,d7217e0bb5b86f0ff7eadc683a638b071dfccaf37f8099c59053531ef3d91aa0,10579,donor-unscorable,True,12258,ValueError: network performance could not be measured,bd6ede38810d8782499c1da0b717817a4fe7b78a77fb569937890c0b327c8549,task084
3506,2398,,2280,118,17.217609664412542,5734d814d1f0e855d7a174a2c66a0062c30aca35d2cd9f4066155e5f1e41824e,8752,donor-unscorable,True,12258,ValueError: network performance could not be measured,7261affdf75572f0c52fa2bd8879673dac188ff022686025195337fc9c207275,task085
1330,,"InferenceError: [ShapeInferenceError] Inference error(s): (op_type:Conv, node name: safe_name_13): [ShapeInferenceError] Attribute pads must not contain negative values
",,,,45318565531a011c9c377d6be1c8c153de04dcaca13542fff186630fd8d3b96b,10928,both-unscorable,True,12258,ValueError: network performance could not be measured,c34046ede66e40d8fa7b97e64c41e7827c5021b4f6021246478f3678088cfc3a,task086
382,5,,0,5,23.3905620875659,d4830ee432562703ce0e624377faf58bf72b5433e6b4616e8268be0d20a86dc8,11876,donor-unscorable,True,12258,ValueError: network performance could not be measured,3a1fbaf33947be2ccf44471574ebb24766ccf8045c8a7cf5f1fed1952303f9dd,task087
6635,6739,,6585,154,16.184333175053784,ad3b8a7ebbebaaaa65548d3e085ebd6936f24e0366447b8628cbb1c3fbd209f3,5623,donor-unscorable,True,12258,ValueError: network performance could not be measured,05ec228e91a97466cf1d73394584a3b6c732c7b8ef819128669feb240d80cba7,task089
14008,3052,,2970,82,16.976447607595652,f204226ad34f4318da9c0cac39d3f74954746a952d7f047021e12f19ef8ead25,-1750,donor-unscorable,True,12258,ValueError: network performance could not be measured,fd8b8df9538435408bcd812adb172f92487b7a999c43be29d1ebf27b54df3925,task090
9855,6553,,6375,178,16.212321760960503,e1b6b3880e335bfcd33eba5602959a773b3804596aacaf265349791d531e138a,2403,donor-unscorable,True,12258,ValueError: network performance could not be measured,b544200c2d32840e80ed2b0165e698ba9e177eefd85f5406af3c0404713ababa,task092
2853,1656,,1533,123,17.587839665054794,f6912b5fd5b4f7bf104a821965844d543f4f3375485644ffc2c35cdfad230a6b,9405,donor-unscorable,True,12258,ValueError: network performance could not be measured,2f9bdfcf4788d98543f475ed1d370f4388192482210d1160ae06859db3ba0188,task093
